	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Sum
EFCAB12														0.000174666																0.000174666
EHD3														0.000174666																0.000174666
EIF2S3														0.000174666																0.000174666
FAM20C														0.000174666																0.000174666
FRG2C														0.000174666																0.000174666
ITPR3														0.000174666																0.000174666
MRAP														0.000174666																0.000174666
NFKBID														0.000174666																0.000174666
NISCH														0.000174666																0.000174666
PTCHD2														0.000174666																0.000174666
RARRES3														0.000174666																0.000174666
SERPIND1														0.000174666																0.000174666
SMNDC1														0.000174666																0.000174666
SRL														0.000174666																0.000174666
STC2														0.000174666																0.000174666
TXNRD2														0.000174666																0.000174666
VAMP2														0.000174666																0.000174666
WDR77														0.000174666																0.000174666
YIPF2														0.000174666																0.000174666
COX19														4.19E-05	0.000132154															0.000174074
CEACAM8															6.61E-05										0.00010743					0.000173506
ADRB2															0.000173452															0.000173452
AKAP8															0.000173452															0.000173452
CEACAM7															0.000173452															0.000173452
CENPP															0.000173452															0.000173452
CKAP4															0.000173452															0.000173452
DCUN1D3															0.000173452															0.000173452
DICER1															0.000173452															0.000173452
EPHB4															0.000173452															0.000173452
FOXG1															0.000173452															0.000173452
FURIN															0.000173452															0.000173452
GID4															0.000173452															0.000173452
HAPLN1															0.000173452															0.000173452
HIRA															0.000173452															0.000173452
ITGB5															0.000173452															0.000173452
KCNK2															0.000173452															0.000173452
LRRC59															0.000173452															0.000173452
MARS2															0.000173452															0.000173452
MEX3C															0.000173452															0.000173452
PDHA2															0.000173452															0.000173452
PYGO2															0.000173452															0.000173452
RANBP2															0.000173452															0.000173452
RAP2C															0.000173452															0.000173452
SCLY															0.000173452															0.000173452
SERPINE3															0.000173452															0.000173452
SLC10A2															0.000173452															0.000173452
STRN															0.000173452															0.000173452
VSTM2A															0.000173452															0.000173452
WNT1															0.000173452															0.000173452
ZG16B															0.000173452															0.000173452
ZIC1															0.000173452															0.000173452
ZNFX1															0.000173452															0.000173452
PSMC2														9.08E-05	8.26E-05															0.000173423
PTPN2														9.08E-05	8.26E-05															0.000173423
RRM2														4.19E-05											0.00013045					0.00017237
WDR5B															4.96E-05										0.000122777					0.000172334
ASB13																													0.000172159	0.000172159
DNM1																													0.000172159	0.000172159
